event_name,event_action,deprecated,deprecation_reason
channel_action,update_channel_action,false,
channel_action,run_channel_action,false,
checklists,add_checklist,false,
checklists,skip_checklist,false,
checklists,rename_checklist,false,
checklists,restore_checklist,false,
checklists,remove_checklist,false,
checklists,move_checklist,false,
frontend,checklists_filter_selected,false,
frontend,click_template_icon,false,
frontend,follower_clicked_run_finished_dm,false,
frontend,follower_clicked_run_started_dm,false,
frontend,playbook_dashboard_run_clicked,false,
frontend,playbook_duplicate_clicked_in_playbook,false,
frontend,playbook_duplicate_clicked_in_playbooks_list,false,
frontend,playbook_export_clicked_in_playbook,false,
frontend,playbook_export_clicked_in_playbooks_list,false,
frontend,playbook_list_run_clicked,false,
frontend,playbook_makeprivate,false,
frontend,playbook_metrics_tab_clicked,false,
frontend,playbook_outline_tab_clicked,false,
frontend,playbook_preview_navbar_section_actions_clicked,false,
frontend,playbook_preview_navbar_section_description_clicked,false,
frontend,playbook_preview_navbar_section_retrospective_clicked,false,
frontend,playbook_preview_navbar_section_status-updates_clicked,false,
frontend,playbook_preview_navbar_section_summary_clicked,false,
frontend,playbook_preview_tab_clicked,false,
frontend,playbook_reports_tab_clicked,false,
frontend,playbook_usage_tab_clicked,false,
frontend,playbookrun_request_update,false,
frontend,playbookrun_request_update_click,false,
frontend,timeline_tab_clicked,false,
frontend,todo_assignedtask_clicked,false,
frontend,todo_overduestatus_clicked,false,
frontend,use_template_option,false,
frontend,view_playbook_outline,false,
frontend,view_playbook_reports,false,
frontend,view_playbook_usage,false,
frontend,view_run_channels_rhs_details,false,
frontend,view_run_details,false,
frontend,view_run_overview,false,
frontend,view_run_retrospective,false,
incident,restore,false,
incident,create,false,
incident,add_timeline_event_from_post,false,
incident,end,false,
incident,remove_timeline_event,false,
incident,unfollow,false,
incident,update_status,false,
incident,follow,false,
incident,change_commander,false,
lhs_category,unfavorite_run,false,
lhs_category,favorite_playbook,false,
lhs_category,favorite_run,false,
lhs_category,unfavorite_playbook,false,
notify_admins,start_trial_to_set_checklist_item_due_date,false,
notify_admins,start_trial_to_access_playbook_dashboard,false,
notify_admins,start_trial_to_access_metrics,false,
notify_admins,start_trial_to_request_update,false,
notify_admins,start_trial_to_create_playbook,false,
notify_admins,start_trial_to_access_retrospective,false,
notify_admins,start_trial_to_add_message_to_timeline,false,
playbookrun_action,update_playbookrun_actions,false,
playbookrun_action,run_playbookrun_action,false,
playbookrun_create,,false,
playbookrun_follow,,false,
playbookrun_leave,,false,
playbookrun_participate,,false,
playbookrun_unfollow,,false,
playbookrun_update_actions,,false,
start_trial,start_trial_to_restrict_playbook_creation,false,
start_trial,start_trial_to_access_playbook_dashboard,false,
start_trial,start_trial_to_access_metrics,false,
start_trial,start_trial_to_access_retrospective,false,
start_trial,start_trial_to_add_message_to_timeline,false,
playbook,create,false,
playbook,delete,false,
playbook,update,false,
playbook,restore,false,
playbook,import,false,
playbook,auto_follow,false,
playbook,auto_unfollow,false,
settings,digest,false,
taskactions_action_executed,mark_item_as_done,false,
taskactions_triggered,,false,
taskactions_updated,,false,
tasks,add_task,false,
tasks,set_assignee_for_task,false,
tasks,move_task,false,
tasks,skip_task,false,
tasks,run_task_slash_command,false,
tasks,restore_task,false,
tasks,modify_task_state,false,
tasks,publish_retrospective,false,
tasks,rename_task,false,
tasks,update_retrospective,false,
tasks,remove_task,false,
UpdatePlaybook,,true,"Previous version of telemetry"
CreatePlaybook,,true,"Previous version of telemetry"
CreateIncident,,true,"Previous version of telemetry"
EndIncident,,true,"Previous version of telemetry"
ModifyStateChecklistItem,true,"Previous version of telemetry"
CheckChecklistItem,,true,"Previous version of telemetry"
SetAssignee,,true,"Previous version of telemetry"
ChangeStage,,true,"Previous version of telemetry"
ChangeCommander,,true,"Previous version of telemetry"
RunChecklistItemSlashCommand,true,"Previous version of telemetry"
RestartIncident,,true,"Previous version of telemetry"
DeletePlaybook,,true,"Previous version of telemetry"
AddChecklistItem,,true,"Previous version of telemetry"
UncheckChecklistItem,,true,"Previous version of telemetry"
RenameChecklistItem,,true,"Previous version of telemetry"
MoveChecklistItem,,true,"Previous version of telemetry"
RemoveChecklistItem,,true,"Previous version of telemetry"
frontend,playbook_preview_navbar_section_checklists_clicked,false,
frontend,playbook_preview_navbar_runs_in_progress_button_clicked,false,
notify_admins,start_trial_to_export_channel,false,
frontend,playbookrun_get_involved_click,false,
frontend,playbook_preview_navbar_section_statusUpdates_clicked,false,
frontend,dm_assignedtask_clicked,false,
start_trial,start_trial_to_set_checklist_item_due_date,false,
start_trial,start_trial_to_restrict_playbook_access,false,
start_trial,start_trial_to_export_channel,false,
start_trial,start_trial_to_create_playbook,false,
notify_admins,start_trial_to_view_timeline,false,
notify_admins,start_trial_to_restrict_playbook_access,false,
start_trial,start_trial_to_view_timeline,false,
frontend,playbookrun_get_involved_join,true,"Replaced by playbookrun_participate"
frontend,todo_runsinprogress_clicked,true,"Not found in code"
frontend,timeline_tab_filter_selected,"Not found in code"
incident,restart,false,
incident,change_stage,true,"Not found in code"
